saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-8e33ea58,order-8e33ea58,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-8fe373de,order-8fe373de,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-8ff9fade,order-8ff9fade,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-901ee98a,order-901ee98a,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-9392a4f4,order-9392a4f4,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-93df79ac,order-93df79ac,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-9463bdad,order-9463bdad,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-958a9bf6,order-958a9bf6,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-9683d95f,order-9683d95f,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-9a787d88,order-9a787d88,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-9bbec421,order-9bbec421,1,OrderCreated,forward,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
order-9e5cbc6f,order-9e5cbc6f,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-a2378ca0,order-a2378ca0,1,OrderCreated,forward,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
order-a2a088bf,order-a2a088bf,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-a73ab028,order-a73ab028,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
order-a86f5d75,order-a86f5d75,1,OrderCreated,forward,completed,2025-09-15 10:08:03,2025-09-15 10:08:03,0.0
order-aa0060f3,order-aa0060f3,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-aaca70ca,order-aaca70ca,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-ab57851c,order-ab57851c,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-ac4fdf43,order-ac4fdf43,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-ad24c4af,order-ad24c4af,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-ad29f66b,order-ad29f66b,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-b2a85148,order-b2a85148,1,OrderCreated,forward,completed,2025-09-15 10:07:55,2025-09-15 10:07:55,0.0
order-b41738bd,order-b41738bd,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-b46a520a,order-b46a520a,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-b5118f8d,order-b5118f8d,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-b81b95a0,order-b81b95a0,1,OrderCreated,forward,completed,2025-09-15 10:07:57,2025-09-15 10:07:57,0.0
order-b8c045bf,order-b8c045bf,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-b9e48f13,order-b9e48f13,1,OrderCreated,forward,completed,2025-09-15 10:08:01,2025-09-15 10:08:01,0.0
order-b9fef6ff,order-b9fef6ff,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-ba42eb0c,order-ba42eb0c,1,OrderCreated,forward,completed,2025-09-15 10:07:58,2025-09-15 10:07:58,0.0
