saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-6d0fe7dd,order-6d0fe7dd,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:48.475258,2025-09-20 06:55:48.475258,0.0
order-6d180261,order-6d180261,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:32.195397,2025-09-20 06:58:32.195397,0.0
order-6d206273,order-6d206273,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:13.185842,2025-09-20 06:56:13.185842,0.0
order-6d23d592,order-6d23d592,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:21.625353,2025-09-20 06:55:21.625353,0.0
order-6d2c3fc8,order-6d2c3fc8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:11.599108,2025-09-20 06:58:11.599108,0.0
order-6d2dab82,order-6d2dab82,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:55.571444,2025-09-20 06:58:55.571444,0.0
order-6d2f5910,order-6d2f5910,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:45.136971,2025-09-20 06:56:45.136971,0.0
order-6d33d0a7,order-6d33d0a7,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:36.330547,2025-09-20 06:57:36.330547,0.0
order-6d3a27d0,order-6d3a27d0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:42.875486,2025-09-20 06:58:42.875486,0.0
order-6d3a701f,order-6d3a701f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:41.217168,2025-09-20 06:57:41.217168,0.0
order-6d4510d4,order-6d4510d4,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:12.462351,2025-09-20 06:58:12.462351,0.0
order-6d469742,order-6d469742,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:44.607852,2025-09-20 06:57:44.607852,0.0
order-6d4781b3,order-6d4781b3,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:38.547478,2025-09-20 06:57:38.547478,0.0
order-6d498255,order-6d498255,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:19.785057,2025-09-20 06:54:19.785057,0.0
order-6d49b029,order-6d49b029,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:01.429348,2025-09-20 06:57:01.429348,0.0
order-6d58fcf0,order-6d58fcf0,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:51.230991,2025-09-20 06:57:51.230991,0.0
order-6d5b5d98,order-6d5b5d98,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:31.509187,2025-09-20 06:58:31.509187,0.0
order-6d6f7f47,order-6d6f7f47,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:26.682917,2025-09-20 06:58:26.682917,0.0
order-6d71021f,order-6d71021f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:37.917956,2025-09-20 06:56:37.917956,0.0
order-6d751ee9,order-6d751ee9,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:25.674149,2025-09-20 06:56:25.674149,0.0
order-6d7ce72b,order-6d7ce72b,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:01.875463,2025-09-20 06:57:01.875463,0.0
order-6d7f0f41,order-6d7f0f41,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:01.760242,2025-09-20 06:58:01.760242,0.0
order-6d7f98a5,order-6d7f98a5,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:33.645297,2025-09-20 06:57:33.645297,0.0
order-6d8183b6,order-6d8183b6,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:45.581362,2025-09-20 06:55:45.581362,0.0
order-6d882849,order-6d882849,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:36.938084,2025-09-20 06:58:36.938084,0.0
order-6d8a82e8,order-6d8a82e8,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:15.561519,2025-09-20 06:57:15.561519,0.0
order-6d906208,order-6d906208,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:33.144772,2025-09-20 06:55:33.144772,0.0
order-6d9228b4,order-6d9228b4,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:44.850419,2025-09-20 06:57:44.850419,0.0
order-6d971af1,order-6d971af1,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:03.590906,2025-09-20 06:58:03.590906,0.0
order-6d97b74b,order-6d97b74b,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:55:33.587816,2025-09-20 06:55:33.587816,0.0
order-6da14226,order-6da14226,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:19.340998,2025-09-20 06:56:19.340998,0.0
order-6da18e4f,order-6da18e4f,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:54:14.534455,2025-09-20 06:54:14.534455,0.0
order-6da23588,order-6da23588,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:56:17.732802,2025-09-20 06:56:17.732802,0.0
order-6da45041,order-6da45041,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:44.113090,2025-09-20 06:58:44.113090,0.0
order-6dabb39b,order-6dabb39b,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:57.035076,2025-09-20 06:57:57.035076,0.0
order-6db98872,order-6db98872,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:05.628718,2025-09-20 06:58:05.628718,0.0
order-6db9f5fe,order-6db9f5fe,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:43.000096,2025-09-20 06:58:43.000096,0.0
order-6dba8f04,order-6dba8f04,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:57:34.497643,2025-09-20 06:57:34.497643,0.0
order-6dc33a4c,order-6dc33a4c,1,EventType.ORDER_CREATED,forward,completed,2025-09-20 06:58:52.041154,2025-09-20 06:58:52.041154,0.0
